queue_name,priority,queue_duration,artificial_duration,calldate,startqueue,endqueue,queue_interval
cg-us_ts_post_diwm,MEDIUM,115,115,2020-10-03,2020-10-02 17:01:48,2020-10-02 17:03:43,115
cg-us_ts_paid,MEDIUM,4,4,2020-10-05,2020-10-05 07:35:38,2020-10-05 07:35:42,4
cg-us_ps_specialty_paid,MEDIUM,8,8,2020-10-05,2020-10-05 06:25:59,2020-10-05 06:26:07,8
cg-us_ts_post,MEDIUM,1715,1715,2020-10-05,2020-10-05 13:18:53,2020-10-05 13:47:28,1715
cg-us_ps_specialty_paid,MEDIUM,17,17,2020-10-05,2020-10-05 06:24:44,2020-10-05 06:25:01,17
cg-us_ts_post,MEDIUM,187,187,2020-10-05,2020-10-05 08:59:13,2020-10-05 09:02:20,187
cg-us_ts_post,MEDIUM,22,22,2020-10-05,2020-10-05 07:30:49,2020-10-05 07:31:11,22
cg-us_ts_post,MEDIUM,15,15,2020-10-05,2020-10-05 07:54:53,2020-10-05 07:55:08,15
cg-us_ts_paid,MEDIUM,4,4,2020-10-05,2020-10-05 06:32:42,2020-10-05 06:32:46,4
cg-us_ps_specialty_paid,MEDIUM,62,62,2020-10-05,2020-10-05 12:50:02,2020-10-05 12:51:04,62
cg-us_ts_post,MEDIUM,1832,1832,2020-10-05,2020-10-05 13:40:55,2020-10-05 14:11:27,1832
cg-us_ps_specialty_paid,MEDIUM,397,397,2020-10-05,2020-10-05 16:51:22,2020-10-05 16:57:59,397
cg-us_ps_specialty_paid,MEDIUM,5,5,2020-10-05,2020-10-05 08:19:27,2020-10-05 08:19:32,5
cg-us_ps_specialty_paid,MEDIUM,24,24,2020-10-05,2020-10-05 10:30:33,2020-10-05 10:30:57,24
cg-us_ps_specialty_paid,MEDIUM,455,455,2020-10-05,2020-10-05 16:31:32,2020-10-05 16:39:07,455
cg-us_ts_diwm,MEDIUM,331,331,2020-10-05,2020-10-05 13:50:11,2020-10-05 13:55:42,331
cg-us_ts_post_diwm,MEDIUM,29,29,2020-10-05,2020-10-05 16:23:51,2020-10-05 16:24:20,29
cg-us_ps_specialty_paid,MEDIUM,6,6,2020-10-05,2020-10-05 05:57:28,2020-10-05 05:57:34,6
cg-us_ts_post,MEDIUM,38,38,2020-10-05,2020-10-05 07:42:28,2020-10-05 07:43:06,38
cg-us_ts_post_diwm,MEDIUM,19,19,2020-10-05,2020-10-05 06:53:13,2020-10-05 06:53:32,19
cg-us_ps_specialty_paid,MEDIUM,391,391,2020-10-05,2020-10-05 13:17:33,2020-10-05 13:24:04,391
cg-us_ts_post_diwm,MEDIUM,2,2,2020-10-05,2020-10-05 08:20:43,2020-10-05 08:20:45,2
cg-us_ts_post,MEDIUM,6,6,2020-10-05,2020-10-05 08:20:02,2020-10-05 08:20:08,6
cg-us_ts_post,MEDIUM,202,202,2020-10-05,2020-10-05 08:57:19,2020-10-05 09:00:41,202
cg-us_ps_specialty_paid,MEDIUM,26,26,2020-10-05,2020-10-05 06:39:47,2020-10-05 06:40:13,26
cg-us_ps_specialty_paid,MEDIUM,465,465,2020-10-05,2020-10-05 14:45:35,2020-10-05 14:53:20,465
cg-us_ts_diwm,MEDIUM,183,183,2020-10-05,2020-10-05 11:26:56,2020-10-05 11:29:59,183
cg-us_ts_post_diwm,MEDIUM,52,52,2020-10-05,2020-10-05 11:25:39,2020-10-05 11:26:31,52
cg-us_ps_specialty_paid,MEDIUM,351,351,2020-10-05,2020-10-05 13:21:54,2020-10-05 13:27:45,351
cg-us_ts_diwm_mobile,MEDIUM,149,149,2020-10-05,2020-10-05 13:34:49,2020-10-05 13:37:18,149
cg-us_ts_post,MEDIUM,364,364,2020-10-05,2020-10-05 16:19:50,2020-10-05 16:25:54,364
cg-us_ps_specialty_paid,MEDIUM,20,20,2020-10-05,2020-10-05 06:56:14,2020-10-05 06:56:34,20
cg-us_ts_paid,MEDIUM,234,234,2020-10-05,2020-10-05 13:56:41,2020-10-05 14:00:35,234
cg-us_ps_specialty_paid,MEDIUM,23,23,2020-10-05,2020-10-05 07:14:17,2020-10-05 07:14:40,23
cg-us_ts_post_diwm,MEDIUM,128,128,2020-10-05,2020-10-05 12:22:39,2020-10-05 12:24:47,128
